Time,Total,Busy,Tasks
1421690323491,947,947,473510
1421697763617,947,947,473435
1421705203740,947,947,473408
1421712643838,947,947,473364
1421720083955,947,946,473266
1421727524048,946,946,472988
1421734964164,946,946,472899
1421742404294,947,946,473117
1421749844400,947,946,473231
1421757284523,946,946,473074
1421764724639,946,946,472912
1421772164752,946,946,473135
1421779604862,947,947,473227
1421787044997,947,947,473184
1421794485135,947,946,473279
1421801925276,946,946,473155
1421809365347,945,945,472765
1421816805489,945,945,472334
1421824245646,945,945,472288
1421831685777,945,945,472310
1421839125918,944,944,472262
1421846566068,943,943,471636
1421854006186,943,942,471232
1421861446305,943,943,471543
1421868886458,944,943,471917
1421876326552,944,944,471910
1421883766717,944,944,471972
1421891206853,945,944,472184
1421898646986,945,945,472397
1421906087092,946,945,472952
1421913527214,947,946,473628
1421920967321,948,948,474108
1421928407441,949,949,474202
1421935847550,949,949,474505
1421943287650,950,949,474966
1421950727789,951,950,475494
1421958167898,952,951,475741
1421965607995,952,952,475929
1421973048141,952,952,476018
1421980488252,953,952,476217
1421987928403,953,953,476484
1421995368488,954,953,477002
1422002808650,955,954,477559
1422010248762,956,956,477756
1422017688868,956,956,477826
1422025128973,957,956,478323
1422032569099,957,957,478714
1422040009226,958,958,479032
1422047449341,959,958,479222
1422054889435,959,958,479214
1422062329564,959,958,479073
1422069769672,958,958,479071
1422077209816,958,958,479012
1422084649938,959,958,479319
1422092090041,959,958,479289
1422099530141,958,957,478949
1422106970245,957,956,478228
1422114410363,957,956,478344
1422121850476,958,957,479061
1422129290587,959,959,479821
1422136730681,960,960,480136
1422144170805,961,961,480220
1422151610914,961,961,480431
1422159051047,961,961,480638
1422166491159,962,962,481193
1422173931279,963,963,481710
1422181371420,964,964,481882
1422188840329,964,963,481843
1422197482142,963,963,481405
1422205778536,963,963,481658
1422213218652,964,964,481976
1422220658754,964,963,481816
1422228098858,964,963,481725
1422235539014,963,963,481398
1422242979111,963,963,481415
1422250419238,963,963,481576
1422257859355,964,963,481607
1422265299462,964,963,481637
1422272739565,963,963,481602
1422280179670,962,962,481079
1422287619789,962,962,480771
1422295059895,961,961,480582
1422302500014,961,961,480403
1422309940130,961,961,480263
1422317380227,960,960,480071
1422324820331,960,959,479773
1422332260429,959,959,479405
1422339700523,959,959,479596
1422347140639,960,960,479796
1422354580755,960,960,479885
1422362020834,960,959,479782
1422369460960,959,959,479572
1422376901068,960,959,479877
1422384341222,960,960,479926
1422391781373,961,960,480190
1422399221473,960,960,479966
1422406661608,960,960,479825
